Ano,NomeConcelho,CodNomeConcelho,TaxaAbstencao,Brancos,Nulos
2015,Vila Real de Santo António,VILA REAL DE SANTO ANTÃ“NIO,51.4,1.3,1.4
2015,Nazaré,NAZARÃ‰,52.1,2,1.6
2015,Oliveira do Bairro,OLIVEIRA DO BAIRRO,46.1,2.5,1.8
2015,Cuba,CUBA,39,1.6,1.3
2015,Santa Marta de Penaguião,SANTA MARTA DE PENAGUIÃƒO,49.9,1.3,1.4
2015,Tarouca,TAROUCA,53.5,1.4,2
2015,Montemor-o-Velho,MONTEMOR-O-VELHO,44.4,2.8,1.3
2015,Alvito,ALVITO,40,1.7,2.1
2015,Proença-a-Nova,PROENÃ‡A-A-NOVA,38.5,2.1,2.3
2015,Constância,CONSTÃ‚NCIA,36.2,2.6,1.1
2015,Alcácer do Sal,ALCÃ\u0081CER DO SAL,41.1,1.1,0.9
2015,Reguengos de Monsaraz,REGUENGOS DE MONSARAZ,44.7,2.1,1.1
2015,Celorico da Beira,CELORICO DA BEIRA,49,1.2,2.1
2015,Murtosa,MURTOSA,55.7,2.5,1.7
2015,Miranda do Corvo,MIRANDA DO CORVO,42.3,2.5,1.6
2015,Penalva do Castelo,PENALVA DO CASTELO,49.2,2.2,2.7
2015,Ovar,OVAR,42.9,2.5,1.6
2015,Azambuja,AZAMBUJA,41.2,1.7,1.8
2015,Lamego,LAMEGO,45.6,1.3,2.1
2015,Coimbra,COIMBRA,40,2.6,1.2
2015,Loures,LOURES,37.8,1.8,1.7
2015,São Brás de Alportel,SÃƒO BRÃ\u0081S DE ALPORTEL,46.5,2.7,1.8
2015,Póvoa de Lanhoso,PÃ“VOA DE LANHOSO,48.4,2.2,1.3
2015,Abrantes,ABRANTES,41.8,2,1.6
2015,Terras de Bouro,TERRAS DE BOURO,46.5,2.2,1.3
2015,Esposende,ESPOSENDE,44.5,2.6,1.7
2015,Vinhais,VINHAIS,56.7,1.3,1.9
2015,Vimioso,VIMIOSO,59,1.1,2.1
2015,Almada,ALMADA,40.5,1.7,1.5
2015,Alfândega da Fé,ALFÃ‚NDEGA DA FÃ‰,44.8,2,1.9
2015,Cadaval,CADAVAL,42.5,2.5,1.9
2015,Castelo de Vide,CASTELO DE VIDE,35.5,2.7,2
2015,Lousada,LOUSADA,41,1.6,1.3
2015,Crato,CRATO,37.5,2,1.5
2015,Bombarral,BOMBARRAL,43.7,2.7,1.8
2015,Sousel,SOUSEL,36.9,1.4,2
2015,Oliveira de Frades,OLIVEIRA DE FRADES,43.4,2.7,1.9
2015,Viana do Alentejo,VIANA DO ALENTEJO,42.7,1.1,1
2015,Campo Maior,CAMPO MAIOR,40.6,1.2,1
2015,Silves,SILVES,46.4,2.5,1.9
2015,Valongo,VALONGO,39.9,2.1,1.6
2015,Sertã,SERTÃƒ,38.2,2.3,3.2
2015,Barcelos,BARCELOS,35.5,2.3,1.3
2015,Borba,BORBA,37.5,1.4,1.3
2015,Beja,BEJA,40.6,1.8,1.3
2015,Lagos,LAGOS,48,2.7,1.5
2015,Vila Real,VILA REAL,44,1.9,1.5
2015,Gondomar,GONDOMAR,40.3,2,1.6
2015,Almodôvar,ALMODÃ”VAR,42.2,1.2,1.5
2015,Benavente,BENAVENTE,47.2,2.4,1.4
2015,Sátão,SÃ\u0081TÃƒO,55,1.7,2.2
2015,Peso da Régua,PESO DA RÃ‰GUA,50.5,1.7,1.5
2015,Sesimbra,SESIMBRA,43.8,1.8,1.6
2015,Felgueiras,FELGUEIRAS,40.6,1.5,1.3
2015,Mafra,MAFRA,38.8,2.9,1.7
2015,Tomar,TOMAR,41.5,2.5,2.1
2015,Alcochete,ALCOCHETE,37,1.9,1.4
2015,Mirandela,MIRANDELA,51.4,1.6,2.2
2015,Ferreira do Zêzere,FERREIRA DO ZÃŠZERE,38,2.4,3.2
2015,Fafe,FAFE,44.5,2,1.3
2015,Figueira de Castelo Rodrigo,FIGUEIRA DE CASTELO RODRIGO,46.3,1.5,2.1
2015,Melgaço,MELGAÃ‡O,67.1,3.1,1.7
2015,Castelo de Paiva,CASTELO DE PAIVA,41.5,1.6,1.7
2015,Penafiel,PENAFIEL,38.1,1.6,1.7
2015,Mourão,MOURÃƒO,43,1,1.7
2015,Vila Flor,VILA FLOR,50.9,1.6,1.9
2015,Tábua,TÃ\u0081BUA,43.9,1.6,2.4
2015,Seixal,SEIXAL,41.2,1.8,1.7
2015,Coruche,CORUCHE,42.5,1.7,1
2015,Cascais,CASCAIS,40.7,2,1.3
2015,Sardoal,SARDOAL,29.5,1.6,2.5
2015,Ourique,OURIQUE,37.7,2.4,1.9
2015,Murça,MURÃ‡A,52.7,2.1,3.1
2015,Montemor-o-Novo,MONTEMOR-O-NOVO,36.9,1.9,1.2
2015,Peniche,PENICHE,50.4,2.6,1.7
2015,Nisa,NISA,39.6,1.7,1.8
2015,Miranda do Douro,MIRANDA DO DOURO,49.9,2.2,2.3
2015,Vendas Novas,VENDAS NOVAS,42.3,1.7,1.2
2015,Redondo,REDONDO,44.3,1.6,1.3
2015,Freixo de Espada à Cinta,FREIXO DE ESPADA Ã€ CINTA,48.6,1.3,1.4
