Ano,NomeDistrito,CodNomeDistrito,TaxaAbstencao,Brancos,Nulos
1991,Aveiro,AVEIRO,29.6,0.7,0.9
1991,Beja,BEJA,36.5,1.1,1.9
1991,Braga,BRAGA,27.7,0.5,1
1991,Bragança,BRAGANÃ‡A,39.1,0.8,1.9
1991,Castelo Branco,CASTELO BRANCO,32.3,0.9,1.4
1991,Coimbra,COIMBRA,33.5,1.1,1.3
1991,Évora,Ã‰VORA,29.9,1.1,1
1991,Faro,FARO,33.7,1.1,1.2
1991,Guarda,GUARDA,34.9,0.8,1.8
1991,Leiria,LEIRIA,32.8,1,1.7
1991,Lisboa,LISBOA,31.6,1,0.9
1991,Portalegre,PORTALEGRE,28.7,1.1,1.2
1991,Porto,PORTO,27.7,0.6,1.1
1991,Santarém,SANTARÃ‰M,31.1,1.1,1.2
1991,Setúbal,SETÃšBAL,32,1.1,0.9
1991,Viana Do Castelo,VIANA DO CASTELO,35,0.7,1.2
1991,Vila Real,VILA REAL,38.5,0.6,1.7
1991,Viseu,VISEU,36.5,0.8,1.4
1995,Aveiro,AVEIRO,31.4,0.8,1
1995,Beja,BEJA,35.9,0.7,1.2
1995,Braga,BRAGA,28.9,0.5,1.2
1995,Bragança,BRAGANÃ‡A,40.3,0.7,1.6
1995,Castelo Branco,CASTELO BRANCO,32.7,0.6,1.6
1995,Coimbra,COIMBRA,33.5,1,1.5
1995,Évora,Ã‰VORA,30.6,0.8,0.9
1995,Faro,FARO,35.8,1,1.2
1995,Guarda,GUARDA,35.4,0.7,1.8
1995,Leiria,LEIRIA,34.4,1,1.2
1995,Lisboa,LISBOA,32.9,0.9,0.9
1995,Portalegre,PORTALEGRE,29.6,0.9,1.1
1995,Porto,PORTO,28.7,0.7,0.9
1995,Santarém,SANTARÃ‰M,32,0.9,1.2
1995,Setúbal,SETÃšBAL,32.3,0.9,0.9
1995,Viana Do Castelo,VIANA DO CASTELO,35.6,0.7,1.3
1995,Vila Real,VILA REAL,39.8,0.6,1.5
1995,Viseu,VISEU,38.4,0.8,1.6
1999,Aveiro,AVEIRO,36.6,1,0.8
1999,Beja,BEJA,41.3,1,1.1
1999,Braga,BRAGA,32.5,0.7,0.8
1999,Bragança,BRAGANÃ‡A,45.3,0.9,1.3
1999,Castelo Branco,CASTELO BRANCO,36.3,0.9,1.3
1999,Coimbra,COIMBRA,38.4,1.1,1
1999,Évora,Ã‰VORA,37.8,1,0.9
1999,Faro,FARO,42.5,1.4,1.2
1999,Guarda,GUARDA,40.4,0.9,1.6
1999,Leiria,LEIRIA,38.1,1.2,1
1999,Lisboa,LISBOA,38.2,1.3,0.8
1999,Portalegre,PORTALEGRE,36.5,1.1,1
1999,Porto,PORTO,35,1,0.8
1999,Santarém,SANTARÃ‰M,37.8,1.2,1.1
1999,Setúbal,SETÃšBAL,39.5,1.3,0.9
1999,Viana Do Castelo,VIANA DO CASTELO,39.2,0.9,1.1
1999,Vila Real,VILA REAL,43.2,0.7,1.3
1999,Viseu,VISEU,41.5,0.9,1.2
2002,Aveiro,AVEIRO,36.5,1,0.8
2002,Beja,BEJA,41.9,0.9,1.2
2002,Braga,BRAGA,32.6,0.7,0.8
2002,Bragança,BRAGANÃ‡A,43.7,0.7,1.4
2002,Castelo Branco,CASTELO BRANCO,37.3,0.8,1.2
2002,Coimbra,COIMBRA,38.1,1.2,0.9
2002,Évora,Ã‰VORA,38.1,0.9,0.8
2002,Faro,FARO,41.6,1.4,1.2
2002,Guarda,GUARDA,41,0.9,1.3
2002,Leiria,LEIRIA,37.2,1.3,1
2002,Lisboa,LISBOA,36.7,1.2,0.8
