Ano,NomeConcelho,CodNomeConcelho,Sigla,PVotos,Sigla_2,Sigla_3,Sigla_4,PVotos_2,PVotos_3,PVotos_4,PVotos_outros
2015,Vila Real de Santo António,VILA REAL DE SANTO ANTÃ“NIO,PS,35.3,PPD/PSD.CDS-PP,BE,PCP-PEV,28.1,15.5,13.8,4.6
2015,Nazaré,NAZARÃ‰,PS,39.8,PPD/PSD.CDS-PP,BE,PCP-PEV,32,13,8.1,3.5
2015,Oliveira do Bairro,OLIVEIRA DO BAIRRO,PPD/PSD.CDS-PP,71.6,PS,BE,PCP-PEV,14.6,6.5,2.2,0.8
2015,Cuba,CUBA,PS,39.5,PCP-PEV,PPD/PSD.CDS-PP,BE,33.2,16.7,4.8,2.9
2015,Santa Marta de Penaguião,SANTA MARTA DE PENAGUIÃƒO,PS,44.9,PPD/PSD.CDS-PP,BE,PCP-PEV,44.2,4.6,3.2,0.4
2015,Tarouca,TAROUCA,PPD/PSD.CDS-PP,55.5,PS,BE,PCP-PEV,25.6,8.5,4.7,2.3
2015,Montemor-o-Velho,MONTEMOR-O-VELHO,PS,39.8,PPD/PSD.CDS-PP,BE,PCP-PEV,33.4,11.2,8.5,3
2015,Alvito,ALVITO,PS,38.6,PPD/PSD.CDS-PP,PCP-PEV,BE,23.9,23.2,8.9,1.6
2015,Proença-a-Nova,PROENÃ‡A-A-NOVA,PPD/PSD.CDS-PP,56.9,PS,BE,PCP-PEV,31.3,5.8,1.7,0
2015,Constância,CONSTÃ‚NCIA,PS,41.4,PPD/PSD.CDS-PP,PCP-PEV,BE,23,13.7,13.3,4.9
2015,Alcácer do Sal,ALCÃ\u0081CER DO SAL,PS,42.2,PCP-PEV,PPD/PSD.CDS-PP,BE,27,16,8.9,3.9
2015,Reguengos de Monsaraz,REGUENGOS DE MONSARAZ,PS,48.8,PPD/PSD.CDS-PP,PCP-PEV,BE,24.2,13.7,8,2
2015,Celorico da Beira,CELORICO DA BEIRA,PPD/PSD.CDS-PP,50,PS,BE,PCP-PEV,34.3,8.1,3.2,1.1
2015,Murtosa,MURTOSA,PPD/PSD.CDS-PP,65.7,PS,BE,PCP-PEV,19.4,6.4,3.3,0.9
