Ano,Sigla,Mandatos,Cor
1991,PPD/PSD,25,"#F26524"
1991,PS,16,"#F9A8A8"
1991,PCP/PEV,6,"#016699"
1991,CDS,2,"#0093DD"
1991,PSN,1,"#002060"
1995,PS,112,"#F9A8A8"
1995,PPD/PSD,88,"#F26524"
1995,CDS/PP,15,"#0093DD"
1995,PCP/PEV,15,"#016699"
1999,PS,115,"#F9A8A8"
1999,PPD/PSD,81,"#F26524"
1999,PCP/PEV,17,"#016699"
1999,CDS/PP,15,"#0093DD"
1999,B.E.,2,"#D02211"
2002,PPD/PSD,105,"#F26524"
2002,PS,96,"#F9A8A8"
2002,CDS/PP,14,"#0093DD"
2002,PCP/PEV/CDU,12,"#FFFF66"
2002,B.E.,3,"#D02211"
2005,PS,121,"#F9A8A8"
2005,PPD/PSD,75,"#F26524"
2005,PCP/PEV,14,"#016699"
2005,CDS/PP,12,"#0093DD"
2005,B.E.,8,"#D02211"
2009,PS,97,"#F9A8A8"
2009,PPD/PSD,81,"#F26524"
2009,CDS/PP,21,"#0093DD"
2009,B.E.,16,"#D02211"
2009,PCP/PEV,15,"#016699"
2011,PPD/PSD,108,"#F26524"
2011,PS,74,"#F9A8A8"
2011,CDS/PP,24,"#0093DD"
2011,PCP/PEV,16,"#016699"
2011,B.E.,8,"#D02211"
2015,PPD/PSD.CDS/PP,102,"#FFC000"
2015,PS,86,"#F9A8A8"
2015,B.E.,19,"#D02211"
2015,PCP/PEV,17,"#016699"
2015,PPD/PSD,5,"#F26524"
2015,PAN,1,"#92D050"
