Ano,NomeDistrito,CodNomeDistrito,Sigla,Votos,PVotos
1991,Aveiro,AVEIRO,PPD/PSD,217615,58.6
1991,Aveiro,AVEIRO,PS,103308,27.8
1991,Aveiro,AVEIRO,CDS,22624,6.1
1991,Aveiro,AVEIRO,PCP/PEV,10427,2.8
1991,Aveiro,AVEIRO,PSN,4628,1.3
1991,Aveiro,AVEIRO,PSR,2148,0.6
1991,Aveiro,AVEIRO,PCTP/MRPP,1646,0.4
1991,Aveiro,AVEIRO,PPM,1409,0.4
1991,Aveiro,AVEIRO,PRD,1133,0.3
1991,Aveiro,AVEIRO,FER,462,0.1
1991,Beja,BEJA,PCP/PEV,29429,30.4
1991,Beja,BEJA,PPD/PSD,28308,29.3
1991,Beja,BEJA,PS,27470,28.4
1991,Beja,BEJA,PSR,2314,2.4
1991,Beja,BEJA,CDS,2245,2.3
1991,Beja,BEJA,PCTP/MRPP,1828,1.9
1991,Beja,BEJA,PSN,990,1
1991,Beja,BEJA,PRD,790,0.8
1991,Beja,BEJA,PPM,366,0.4
1991,Beja,BEJA,PDA,216,0.2
1991,Braga,BRAGA,PPD/PSD,227580,53.6
1991,Braga,BRAGA,PS,133607,31.5
1991,Braga,BRAGA,CDS,23715,5.6
1991,Braga,BRAGA,PCP/PEV,19327,4.6
1991,Braga,BRAGA,PSR,3441,0.8
1991,Braga,BRAGA,PCTP/MRPP,3291,0.8
1991,Braga,BRAGA,PSN,3241,0.8
1991,Braga,BRAGA,PRD,1686,0.4
1991,Braga,BRAGA,PDA,1311,0.3
1991,Braga,BRAGA,PPM,1329,0.3
1991,Bragança,BRAGANÃ‡A,PPD/PSD,52608,57.9
1991,Bragança,BRAGANÃ‡A,PS,23300,25.7
1991,Bragança,BRAGANÃ‡A,CDS,7452,8.2
1991,Bragança,BRAGANÃ‡A,PCP/PEV,1888,2.1
1991,Bragança,BRAGANÃ‡A,PSN,1392,1.5
1991,Bragança,BRAGANÃ‡A,PRD,539,0.6
1991,Bragança,BRAGANÃ‡A,PCTP/MRPP,528,0.6
1991,Bragança,BRAGANÃ‡A,PPM,430,0.5
